"Ya en calendario","...2","Prioridad","Nombre","Alcaldía","cve_col","Grupo Electoral","Poblacion 2020","Colonias operativas","Grado Marginación","Nivel Desarrollo Social","Indice Desarrollo Social","Postes Totales","Postes C5","WiFi Barrio","Unidad habitacional","Unidad habitacional en programa WiFi","Razon","Asentamiento irregular","Fecha","visita"
1,NA,"P2","CENTRO I","VENUSTIANO CARRANZA","17-072","Volátiles",7695,0.961875,4,"Muy Bajo",0.72382155,24,24,0,1,1,320.625,0,"lunes 31 de octubre",NA
1,NA,"P2","JOYA DE VARGAS","XOCHIMILCO","13-016","Volátiles",726,0.09075,4,"Muy Bajo",0.73888431429,0,0,0,0,0,NA,0,"martes 25 de octubre",NA
1,NA,"P2","NATIVITAS LA JOYA (AMPL)","XOCHIMILCO","13-030","Volátiles",17897,2.237125,4,"Muy Bajo",0.71059750412,2,2,0,0,0,8948.5,0,"viernes 23 de septiembre","JDG"
1,NA,"P2","SOLIDARIDAD","TLALPAN","12-166","Voto duro Morena",1732,0.2165,4,"Muy Bajo",0.70149849091,1,0,1,0,0,1732,0,"viernes 9 de septiembre","JDG"
1,NA,"P2","EL CARMEN","XOCHIMILCO","13-011","Voto duro Morena",7943,0.992875,4,"Muy Bajo",0.76712862,3,3,0,0,0,2647.66666666667,0,"lunes 12 de septiembre",NA
1,NA,"P3","SANTA CRUZ ACALPIXCA (PBLO)","XOCHIMILCO","13-060","Voto duro Morena",23349,2.918625,5,"Bajo",0.7961433296,11,11,0,1,1,2122.63636363636,0,"martes 25 de octubre",NA
1,NA,"P2","SAN FRANCISCO TLALNEPANTLA (PBLO)","XOCHIMILCO","13-042","Volátiles",8547,1.068375,4,"Muy Bajo",0.74933399818,7,7,0,0,0,1221,1,"jueves 8 de septiembre",NA
1,NA,"P1","LOS CERRILLOS III","XOCHIMILCO","13-027","Voto duro Morena",6126,0.76575,5,"Muy Bajo",0.77774522917,0,0,0,0,0,NA,0,"lunes 12 de septiembre",NA
1,NA,"P1","XICALHUACAN","XOCHIMILCO","13-074","Volátiles",5439,0.679875,5,"Muy Bajo",0.71406719726,1,1,0,0,0,5439,0,"martes 30 de agosto",NA
1,NA,"P2","SAN LORENZO (BARR)","XOCHIMILCO","13-049","Voto duro Morena",4774,0.59675,4,"Muy Bajo",0.75025451569,1,1,0,0,0,4774,0,"martes 30 de agosto",NA
1,NA,"P2","SAN FRANCISCO CHIQUIMOLA","XOCHIMILCO","13-041","Volátiles",3359,0.419875,4,"Muy Bajo",0.70772202222,0,0,0,0,0,NA,0,"lunes 12 de septiembre","JDG"
1,NA,"P2","SANTA CRUZ CHAVARRIETA","XOCHIMILCO","13-061","Voto duro Morena",2261,0.282625,4,"Muy Bajo",0.7621768125,1,1,0,0,0,2261,0,"jueves 20 de octubre",NA
1,NA,"P1","LA SANTISIMA (BARR)","XOCHIMILCO","13-024","Voto duro Morena",2251,0.281375,5,"Muy Bajo",0.7699853,0,0,0,0,0,NA,0,"martes 30 de agosto",NA
1,NA,"P3","XALTOCAN (BARR)","XOCHIMILCO","13-073","Volátiles",10717,1.339625,5,"Bajo",0.82491380513,25,25,0,1,0,428.68,0,"jueves 20 de octubre",NA
